                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86464,                 3.1052,                 1.2527,                0.48616,                0.67737,                0.54852,                0.48369,                0.35518,                  3.545,                 0.9158,             0.00012861,             0.00012861,             0.00012861
                      2,                0.74773,                 1.4383,                 1.1492,                0.64172,                0.75324,                0.69283,                0.65908,                0.31051,                 2.1429,                0.83904,             0.00026767,             0.00026767,             0.00026767
                      3,                0.59451,                 1.1119,                 1.0185,                0.61523,                0.86131,                0.81608,                0.73759,                0.43509,                 1.2599,                0.90313,             0.00040269,             0.00040269,             0.00040269
                      4,                0.65984,                  1.317,                  1.096,                0.78284,                0.81265,                0.84583,                0.70469,                0.46979,                 3.1336,                0.92531,             0.00053366,             0.00053366,             0.00053366
                      5,                0.58277,                 1.0981,                 1.0257,                0.59983,                0.81099,                0.83513,                0.64577,                0.58158,                 2.1561,                  1.115,              0.0006606,              0.0006606,              0.0006606
                      6,                0.65128,                 1.0557,                 1.0632,                0.64265,                0.76261,                0.74787,                 0.5949,                0.57838,                 1.4011,                 1.0135,             0.00078349,             0.00078349,             0.00078349
                      7,                 0.6449,                 1.1078,                 1.0558,                0.37698,                0.69167,                0.63932,                0.51498,                0.64205,                 3.5263,                 1.0846,             0.00090234,             0.00090234,             0.00090234
                      8,                0.92482,                  1.391,                 1.3205,                 0.4827,                0.72737,                0.60839,                0.43875,                0.67686,                 2.1272,                 1.1477,              0.0010171,              0.0010171,              0.0010171
                      9,                0.63823,                0.89926,                 1.0355,                0.55094,                 0.7631,                0.62178,                0.42798,                0.63283,                 1.8512,                 1.0604,              0.0011279,              0.0011279,              0.0011279
                     10,                0.63557,                0.90499,                 1.0414,                0.47615,                0.70833,                0.61326,                0.48381,                0.67486,                 1.6451,                 1.0944,              0.0012346,              0.0012346,              0.0012346
                     11,                0.70128,                0.98075,                 1.1175,                0.63733,                0.52751,                0.60809,                 0.4692,                0.72319,                 1.3993,                 1.1169,              0.0012269,              0.0012269,              0.0012269
                     12,                 0.6721,                 1.0028,                 1.0196,                0.52477,                0.73532,                0.65432,                0.49633,                0.68282,                 1.8075,                 1.1015,              0.0012269,              0.0012269,              0.0012269
                     13,                0.74562,                0.98197,                 1.1275,                0.75465,                0.81726,                0.81342,                0.61424,                0.60508,                 1.3383,                 1.0408,              0.0012067,              0.0012067,              0.0012067
                     14,                0.62464,                0.87426,                 1.0152,                0.78317,                0.82679,                0.83378,                0.67508,                0.58433,                 1.2164,                 1.0373,              0.0011865,              0.0011865,              0.0011865
                     15,                0.67338,                0.80244,                 1.0732,                0.78392,                 0.7469,                 0.8596,                0.69944,                0.59432,                 1.3707,                 1.0629,              0.0011663,              0.0011663,              0.0011663
                     16,                0.79443,                 1.0286,                 1.1813,                0.76222,                0.91369,                0.89236,                  0.707,                0.61546,                 1.0333,                  1.068,              0.0011461,              0.0011461,              0.0011461
                     17,                0.74499,                0.91607,                 1.1477,                0.72715,                0.85198,                0.85459,                0.65537,                0.69716,                 1.0883,                 1.1403,              0.0011258,              0.0011258,              0.0011258
                     18,                0.68982,                0.86015,                 1.0287,                0.70588,                0.70507,                0.77636,                0.64575,                0.61475,                 1.1844,                 1.0397,              0.0011056,              0.0011056,              0.0011056
                     19,                0.60581,                0.75775,                 1.0254,                0.79041,                0.75352,                0.84097,                0.69193,                0.52122,                 1.4652,                0.96425,              0.0010854,              0.0010854,              0.0010854
                     20,                0.75032,                0.86127,                 1.1496,                0.70266,                0.75714,                0.82298,                0.68066,                0.53878,                 1.3921,                0.97802,              0.0010652,              0.0010652,              0.0010652
                     21,                0.70237,                0.85107,                 1.0724,                0.82804,                0.76854,                0.82722,                0.68381,                0.52978,                0.91267,                 1.0085,               0.001045,               0.001045,               0.001045
                     22,                 0.6214,                  0.749,                 1.0453,                0.85981,                0.83916,                0.88634,                0.70275,                0.55124,                0.88684,                 1.0084,              0.0010248,              0.0010248,              0.0010248
                     23,                0.58785,                0.66417,                 1.0378,                0.82418,                0.85324,                0.91222,                0.72398,                0.56757,                  0.726,                 1.0219,              0.0010046,              0.0010046,              0.0010046
                     24,                0.65742,                  1.057,                 1.0871,                0.79849,                0.88778,                0.88789,                0.73832,                0.51166,                0.73547,                0.97938,             0.00098438,             0.00098438,             0.00098438
                     25,                0.63448,                0.88388,                 1.0532,                0.76529,                0.72206,                0.80767,                0.70704,                0.47784,                0.78077,                0.96175,             0.00096417,             0.00096417,             0.00096417
                     26,                0.80326,                 1.5618,                 1.1671,                0.76401,                 0.7987,                0.83091,                0.72973,                0.46968,                0.80326,                0.95449,             0.00094396,             0.00094396,             0.00094396
                     27,                0.63606,                0.81211,                 1.0551,                0.79998,                0.85508,                0.88536,                0.75406,                0.50756,                0.73493,                0.95127,             0.00092375,             0.00092375,             0.00092375
                     28,                0.58395,                0.66577,                0.99777,                0.75981,                0.85668,                0.84986,                0.72086,                0.47449,                 1.0146,                0.92231,             0.00090354,             0.00090354,             0.00090354
                     29,                0.55198,                0.81926,                 1.0249,                0.74687,                0.89883,                0.84857,                0.73156,                 0.4674,                0.98848,                0.93869,             0.00088333,             0.00088333,             0.00088333
                     30,                0.51457,                0.60677,                0.97416,                0.78374,                0.89096,                0.88488,                0.77469,                0.47703,                 0.7375,                0.96904,             0.00086312,             0.00086312,             0.00086312
                     31,                0.56419,                0.82454,                0.99926,                0.90873,                0.86608,                 0.9377,                0.82957,                0.45846,                0.58813,                0.94744,             0.00084291,             0.00084291,             0.00084291
                     32,                0.52384,                0.62389,                 0.9571,                0.93301,                0.89231,                0.94841,                0.81281,                0.46998,                0.57463,                0.94523,              0.0008227,              0.0008227,              0.0008227
