                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86464,                 3.1052,                 1.2527,                0.48616,                0.67737,                0.54852,                0.48369,                0.35518,                  3.545,                 0.9158,             0.00012861,             0.00012861,             0.00012861
                      2,                0.74697,                 1.4365,                 1.1483,                0.59061,                0.77889,                 0.6881,                0.65954,                 0.3097,                 2.1668,                0.83897,             0.00027061,             0.00027061,             0.00027061
                      3,                0.58798,                 1.1399,                 1.0121,                0.69554,                0.78443,                 0.8104,                0.72698,                0.43984,                 1.3071,                0.91353,             0.00041167,             0.00041167,             0.00041167
                      4,                0.64903,                 1.3288,                 1.0914,                0.79593,                0.80487,                0.85528,                0.72712,                0.43818,                  3.263,                0.90873,             0.00055179,             0.00055179,             0.00055179
                      5,                0.59701,                  1.114,                  1.037,                0.58673,                0.72083,                0.81163,                0.59464,                0.62623,                 2.1045,                 1.1584,             0.00069097,             0.00069097,             0.00069097
                      6,                0.63977,                 1.0256,                 1.0612,                0.63947,                0.73929,                0.76345,                0.60481,                0.60456,                 1.8239,                 1.0282,              0.0008292,              0.0008292,              0.0008292
                      7,                0.68053,                 1.1665,                 1.0921,                0.35745,                0.64464,                0.58183,                0.44511,                0.70485,                 4.3853,                 1.0789,             0.00096649,             0.00096649,             0.00096649
                      8,                 0.9748,                 1.5201,                 1.3592,                0.52608,                0.53068,                0.49209,                0.36566,                0.69504,                 1.6691,                 1.1777,              0.0011028,              0.0011028,              0.0011028
                      9,                0.64964,                0.91327,                 1.0241,                0.44783,                 0.6409,                0.48735,                0.36497,                0.71199,                 1.8593,                 1.1007,              0.0012382,              0.0012382,              0.0012382
                     10,                0.66651,                0.95896,                 1.0542,                0.69551,                0.59583,                0.67635,                0.45828,                0.70662,                 2.1133,                 1.1024,              0.0013727,              0.0013727,              0.0013727
                     11,                0.73191,                0.96646,                 1.1104,                 0.6617,                0.65774,                0.72341,                0.48445,                0.73953,                 1.6954,                 1.1152,              0.0013818,              0.0013818,              0.0013818
                     12,                0.72407,                 1.0196,                 1.0269,                0.57247,                0.53929,                0.58946,                0.39135,                0.84548,                  1.862,                 1.2236,              0.0013818,              0.0013818,              0.0013818
                     13,                0.75784,                0.98226,                 1.1227,                0.58071,                0.60274,                0.55233,                0.39294,                0.73248,                 2.4445,                 1.1419,              0.0013771,              0.0013771,              0.0013771
                     14,                0.65786,                0.94744,                 1.0222,                0.61295,                0.67917,                0.58802,                0.44945,                0.67472,                 2.2808,                 1.1171,              0.0013724,              0.0013724,              0.0013724
                     15,                0.67981,                0.90146,                 1.0702,                0.72858,                0.84712,                0.87773,                0.68885,                0.63193,                  1.376,                 1.0822,              0.0013677,              0.0013677,              0.0013677
                     16,                0.82202,                 1.0876,                 1.1782,                0.62025,                0.72295,                0.77324,                0.56973,                0.72007,                 2.0853,                 1.1696,               0.001363,               0.001363,               0.001363
                     17,                0.74356,                0.93851,                 1.1454,                0.60341,                0.64286,                0.72954,                0.54323,                0.83489,                 1.8811,                  1.224,              0.0013583,              0.0013583,              0.0013583
